Item,Text,Sentiment,Trend,Source,Volume,Price Change,Category
Fruit,Fruit prices are going up.,0.9,neutral,Government Report,710,0%,Technology
Electronics,Electronics prices are declining.,0.2,neutral,Government Report,773,0%,Commodity
Fruit,Fruit market is fluctuating.,0.6,up,Market Analysis,1897,3%,Manufacturing
Sugar,Sugar demand is rising.,0.4,neutral,Government Report,1414,0%,Technology
Rice,Rice prices are fluctuating.,0.8,up,Market Analysis,960,6%,Commodity
Fruit,Fruit demand is steady.,0.8,neutral,Social Media,1037,0%,Manufacturing
Milk,Milk market is fluctuating.,0.3,up,Government Report,1737,5%,Manufacturing
Milk,Milk prices are steady.,0.2,neutral,Government Report,1490,0%,Manufacturing
Wheat,Wheat market is stable.,0.7,down,Market Analysis,1955,-5%,Manufacturing
Wheat,Wheat production is high.,0.3,up,News Website,561,4%,Manufacturing
Sugar,Sugar prices are increasing.,0.9,down,Social Media,1368,-3%,Manufacturing
Oil,Oil demand is increasing.,0.6,neutral,Government Report,640,0%,Technology
Rice,Rice market is unstable.,0.6,up,Government Report,678,6%,Manufacturing
Corn,Corn production is high.,0.8,up,Social Media,1961,6%,Technology
Oil,Oil prices are dropping.,0.5,neutral,Government Report,763,0%,Commodity
Coffee,Coffee prices are decreasing.,0.8,up,News Website,1614,6%,Manufacturing
Fruit,Fruit demand is steady.,0.2,neutral,Social Media,862,0%,Agriculture
Rice,Rice prices are fluctuating.,0.3,up,Market Analysis,936,8%,Commodity
Corn,Corn market is stable.,0.7,neutral,News Website,773,0%,Agriculture
Fruit,Fruit market is fluctuating.,0.7,up,Social Media,1409,9%,Manufacturing
Oil,Oil prices are dropping.,0.4,up,Social Media,1266,9%,Manufacturing
Oil,Oil market is recovering.,0.4,down,Market Analysis,1008,-8%,Technology
Tea,Tea prices are on the rise.,0.5,down,Market Analysis,1812,-2%,Technology
Corn,Corn prices are steady.,0.3,up,Market Analysis,1545,9%,Manufacturing
Tea,Tea market is growing.,0.7,down,News Website,1439,-9%,Commodity
Fruit,Fruit production is decreasing.,0.8,neutral,Government Report,808,0%,Agriculture
Wheat,Wheat production is high.,0.7,neutral,Market Analysis,1955,0%,Agriculture
Coffee,Coffee production is increasing.,0.2,up,Market Analysis,1025,9%,Agriculture
Coffee,Coffee prices are volatile.,0.6,up,News Website,946,4%,Technology
Oil,Oil market is recovering.,0.7,up,News Website,1834,3%,Technology
Coffee,Coffee prices are decreasing.,0.6,neutral,Social Media,1906,0%,Commodity
Milk,Milk prices are steady.,0.6,up,News Website,876,9%,Manufacturing
Oil,Oil prices are dropping.,0.7,down,Social Media,1120,-3%,Commodity
Tea,Tea production is stable.,0.8,neutral,Social Media,1597,0%,Agriculture
Oil,Oil prices are dropping.,0.9,down,Social Media,1345,-5%,Manufacturing
Corn,Corn production is lower than expected.,0.7,down,News Website,1691,-3%,Commodity
Electronics,Electronics sales are down.,0.9,up,News Website,886,8%,Commodity
Wheat,Wheat market is stable.,0.3,down,Market Analysis,1528,-4%,Technology
Tea,Tea prices are on the rise.,0.9,neutral,Government Report,1340,0%,Technology
Corn,Corn production is lower than expected.,0.4,down,Government Report,1714,-1%,Commodity
Electronics,Electronics market is growing.,0.3,neutral,News Website,1370,0%,Commodity
Corn,Corn production is lower than expected.,0.4,down,News Website,509,-1%,Manufacturing
Corn,Corn production is lower than expected.,0.7,up,Social Media,1430,8%,Technology
Electronics,Electronics market is growing.,0.4,up,Social Media,1272,1%,Manufacturing
Electronics,Electronics prices are declining.,0.5,up,News Website,1977,1%,Manufacturing
Oil,Oil prices are fluctuating.,0.8,down,News Website,1087,-9%,Agriculture
Milk,Milk prices are increasing.,0.5,down,Government Report,1491,-7%,Agriculture
Coffee,Coffee prices are volatile.,0.8,neutral,Government Report,1313,0%,Commodity
Wheat,Wheat prices are dropping.,0.7,neutral,Government Report,1474,0%,Technology
Electronics,Electronics prices are declining.,0.2,up,News Website,1505,4%,Agriculture
Electronics,Electronics market is growing.,0.7,up,Market Analysis,1208,3%,Commodity
Oil,Oil market is recovering.,0.6,down,Government Report,700,-2%,Technology
Fruit,Fruit prices are going up.,0.2,neutral,Market Analysis,642,0%,Agriculture
Tea,Tea prices are on the rise.,0.7,up,Social Media,1521,9%,Agriculture
Sugar,Sugar prices are increasing.,0.7,down,Market Analysis,1003,-8%,Commodity
Rice,Rice production is steady.,0.6,down,Government Report,1966,-3%,Manufacturing
Wheat,Wheat market is stable.,0.5,neutral,Government Report,663,0%,Manufacturing
Tea,Tea demand is stable.,0.3,down,Market Analysis,1218,-6%,Commodity
Wheat,Wheat prices are expected to rise.,0.6,neutral,Market Analysis,1705,0%,Manufacturing
Sugar,Sugar prices are increasing.,0.7,down,Government Report,1882,-2%,Commodity
Coffee,Coffee production is increasing.,0.3,down,News Website,966,-7%,Manufacturing
Oil,Oil prices are fluctuating.,0.3,up,Social Media,1482,5%,Technology
Electronics,Electronics sales are booming.,0.7,neutral,Market Analysis,1906,0%,Agriculture
Coffee,Coffee prices are volatile.,0.4,down,News Website,927,-7%,Agriculture
Rice,Rice prices are fluctuating.,0.2,down,News Website,1192,-5%,Technology
Sugar,Sugar prices are volatile.,0.8,up,News Website,885,8%,Technology
Oil,Oil market is recovering.,0.2,neutral,Social Media,990,0%,Agriculture
Milk,Milk prices are increasing.,0.3,up,Government Report,1907,4%,Manufacturing
Rice,Rice prices are increasing.,0.8,down,Market Analysis,899,-8%,Agriculture
Wheat,Wheat production is high.,0.6,neutral,Market Analysis,1263,0%,Technology
Rice,Rice production is steady.,0.2,up,News Website,783,1%,Manufacturing
Wheat,Wheat market is stable.,0.7,down,News Website,848,-5%,Technology
Oil,Oil market is recovering.,0.8,down,Social Media,1656,-3%,Agriculture
Electronics,Electronics sales are down.,0.9,down,Government Report,557,-4%,Agriculture
Fruit,Fruit production is decreasing.,0.3,down,Social Media,1138,-7%,Commodity
Electronics,Electronics sales are down.,0.2,down,Market Analysis,690,-4%,Commodity
Tea,Tea demand is stable.,0.4,down,Social Media,1173,-3%,Manufacturing
Rice,Rice prices are fluctuating.,0.4,down,Market Analysis,1147,-9%,Manufacturing
Oil,Oil demand is increasing.,0.5,neutral,Government Report,1700,0%,Agriculture
Sugar,Sugar market is stable.,0.4,down,Social Media,1313,-7%,Technology
Oil,Oil demand is increasing.,0.6,neutral,News Website,505,0%,Commodity
Milk,Milk market is fluctuating.,0.9,neutral,Market Analysis,1265,0%,Manufacturing
Fruit,Fruit demand is steady.,0.5,down,Market Analysis,576,-9%,Technology
Oil,Oil prices are fluctuating.,0.5,neutral,Market Analysis,1250,0%,Manufacturing
Wheat,Wheat production is high.,0.5,neutral,Government Report,730,0%,Agriculture
Electronics,Electronics sales are booming.,0.7,up,News Website,1216,7%,Technology
Corn,Corn prices are steady.,0.2,down,Market Analysis,1834,-8%,Technology
Milk,Milk prices are increasing.,0.9,down,Social Media,1804,-4%,Commodity
Corn,Corn production is high.,0.8,down,Social Media,719,-4%,Manufacturing
Fruit,Fruit production is decreasing.,0.5,down,Government Report,1280,-6%,Commodity
Electronics,Electronics prices are declining.,0.3,up,Social Media,1070,5%,Agriculture
Rice,Rice prices are increasing.,0.2,down,Social Media,606,-1%,Technology
Electronics,Electronics sales are down.,0.9,up,Market Analysis,507,7%,Commodity
Milk,Milk market is fluctuating.,0.4,neutral,News Website,1176,0%,Commodity
Sugar,Sugar market is stable.,0.8,up,Government Report,1694,5%,Manufacturing
Sugar,Sugar demand is rising.,0.9,neutral,Market Analysis,1974,0%,Technology
Coffee,Coffee prices are volatile.,0.6,down,Government Report,1796,-9%,Manufacturing
Tea,Tea prices are on the rise.,0.7,down,Market Analysis,1788,-2%,Commodity
Milk,Milk prices are increasing.,0.2,down,Government Report,1607,-1%,Agriculture
Corn,Corn prices are steady.,0.3,down,News Website,1357,-3%,Agriculture
Corn,Corn market is stable.,0.9,up,Government Report,1534,1%,Commodity
Wheat,Wheat production is high.,0.3,neutral,Social Media,981,0%,Agriculture
Fruit,Fruit production is decreasing.,0.8,down,Market Analysis,1084,-3%,Agriculture
Oil,Oil market is recovering.,0.4,up,News Website,894,1%,Technology
Sugar,Sugar prices are volatile.,0.9,down,Government Report,797,-9%,Agriculture
Electronics,Electronics sales are down.,0.3,up,Market Analysis,830,4%,Agriculture
Coffee,Coffee production is increasing.,0.7,down,Market Analysis,1982,-4%,Commodity
Milk,Milk prices are steady.,0.8,down,Social Media,1994,-7%,Manufacturing
Rice,Rice market is unstable.,0.2,up,Market Analysis,1383,6%,Technology
Sugar,Sugar prices are increasing.,0.2,up,Market Analysis,1875,3%,Manufacturing
Sugar,Sugar market is stable.,0.9,down,Market Analysis,1613,-2%,Commodity
Coffee,Coffee production is increasing.,0.4,up,Social Media,888,7%,Manufacturing
Coffee,Coffee prices are decreasing.,0.8,up,Government Report,650,5%,Commodity
Wheat,Wheat prices are expected to rise.,0.2,up,Market Analysis,1322,3%,Technology
Corn,Corn prices are steady.,0.2,neutral,News Website,1046,0%,Commodity
Corn,Corn prices are steady.,0.5,up,Market Analysis,679,5%,Technology
Rice,Rice market is unstable.,0.8,down,News Website,1584,-8%,Agriculture
Sugar,Sugar demand is rising.,0.2,neutral,Social Media,1243,0%,Commodity
Electronics,Electronics market is growing.,0.9,down,Social Media,1500,-4%,Commodity
Electronics,Electronics sales are booming.,0.8,up,Social Media,764,6%,Manufacturing
Oil,Oil market is recovering.,0.5,neutral,Social Media,1301,0%,Agriculture
Milk,Milk prices are increasing.,0.7,down,Market Analysis,1807,-3%,Commodity
Milk,Milk market is fluctuating.,0.2,neutral,Market Analysis,853,0%,Commodity
Sugar,Sugar prices are volatile.,0.7,up,Government Report,785,4%,Manufacturing
Wheat,Wheat production is high.,0.7,up,Market Analysis,1509,4%,Technology
Corn,Corn production is lower than expected.,0.6,up,Market Analysis,1437,9%,Manufacturing
Oil,Oil demand is increasing.,0.4,neutral,Government Report,1751,0%,Commodity
Tea,Tea market is growing.,0.3,down,Social Media,1552,-2%,Manufacturing
Coffee,Coffee prices are decreasing.,0.8,up,Social Media,945,9%,Technology
Wheat,Wheat prices are expected to rise.,0.7,up,Social Media,1125,1%,Technology
Tea,Tea market is growing.,0.7,down,Government Report,569,-4%,Manufacturing
Sugar,Sugar prices are increasing.,0.9,down,News Website,821,-6%,Commodity
Fruit,Fruit production is decreasing.,0.8,neutral,News Website,1716,0%,Manufacturing
Oil,Oil prices are dropping.,0.6,neutral,Market Analysis,1825,0%,Technology
Fruit,Fruit market is fluctuating.,0.3,neutral,Social Media,710,0%,Commodity
Oil,Oil prices are dropping.,0.4,neutral,Social Media,567,0%,Commodity
Rice,Rice production is steady.,0.8,down,Social Media,1140,-9%,Technology
Wheat,Wheat prices are dropping.,0.7,up,Government Report,1927,6%,Agriculture
Corn,Corn market is stable.,0.5,down,Market Analysis,736,-7%,Commodity
Electronics,Electronics market is growing.,0.6,neutral,News Website,1521,0%,Manufacturing
Fruit,Fruit prices are going up.,0.7,down,Market Analysis,1769,-8%,Agriculture
Corn,Corn market is stable.,0.5,up,News Website,890,5%,Agriculture
Oil,Oil market is recovering.,0.8,down,Market Analysis,1092,-4%,Agriculture
Corn,Corn prices are steady.,0.6,neutral,Social Media,1523,0%,Agriculture
Coffee,Coffee prices are decreasing.,0.5,up,Social Media,948,7%,Manufacturing
Rice,Rice production is steady.,0.5,up,Social Media,1839,2%,Agriculture
Corn,Corn prices are steady.,0.2,neutral,Market Analysis,1790,0%,Technology
Milk,Milk production is high.,0.8,up,Social Media,1149,7%,Manufacturing
Oil,Oil market is recovering.,0.3,neutral,News Website,732,0%,Technology
Coffee,Coffee market is steady.,0.6,neutral,Government Report,1364,0%,Agriculture
Sugar,Sugar prices are volatile.,0.9,up,Market Analysis,1059,1%,Agriculture
Fruit,Fruit demand is steady.,0.2,down,Market Analysis,803,-4%,Commodity
Sugar,Sugar market is stable.,0.6,down,Market Analysis,558,-2%,Manufacturing
Corn,Corn production is high.,0.6,down,Market Analysis,1852,-8%,Technology
Milk,Milk prices are increasing.,0.8,neutral,Social Media,1254,0%,Commodity
Oil,Oil market is recovering.,0.4,down,Government Report,1157,-3%,Manufacturing
Milk,Milk production is high.,0.9,up,Government Report,906,8%,Technology
Sugar,Sugar demand is rising.,0.2,neutral,Social Media,821,0%,Manufacturing
Milk,Milk production is high.,0.7,up,Market Analysis,1470,2%,Agriculture
Fruit,Fruit demand is steady.,0.7,down,News Website,972,-5%,Commodity
Corn,Corn production is lower than expected.,0.7,down,Government Report,1149,-4%,Agriculture
Tea,Tea market is growing.,0.8,neutral,Market Analysis,1891,0%,Technology
Electronics,Electronics sales are down.,0.3,down,Social Media,791,-8%,Technology
Corn,Corn production is lower than expected.,0.3,neutral,Market Analysis,561,0%,Commodity
Coffee,Coffee market is steady.,0.2,neutral,News Website,1539,0%,Commodity
Fruit,Fruit market is fluctuating.,0.6,neutral,News Website,1493,0%,Commodity
Tea,Tea production is stable.,0.9,neutral,Market Analysis,894,0%,Agriculture
Fruit,Fruit production is decreasing.,0.2,down,Social Media,1278,-1%,Manufacturing
Rice,Rice market is unstable.,0.7,neutral,Market Analysis,561,0%,Technology
Tea,Tea prices are on the rise.,0.8,neutral,Social Media,1242,0%,Manufacturing
Electronics,Electronics sales are booming.,0.3,up,Government Report,1622,1%,Technology
Coffee,Coffee production is increasing.,0.9,neutral,Market Analysis,1838,0%,Agriculture
Tea,Tea production is stable.,0.3,up,Market Analysis,733,5%,Manufacturing
Oil,Oil prices are fluctuating.,0.6,neutral,Social Media,503,0%,Technology
Wheat,Wheat production is high.,0.6,neutral,Government Report,1535,0%,Manufacturing
Corn,Corn production is high.,0.3,down,Social Media,1664,-2%,Technology
Electronics,Electronics market is growing.,0.9,down,News Website,1280,-9%,Manufacturing
Tea,Tea production is stable.,0.5,neutral,News Website,1774,0%,Technology
Wheat,Wheat market is stable.,0.6,neutral,Government Report,1569,0%,Technology
Tea,Tea market is growing.,0.3,down,Market Analysis,1759,-2%,Commodity
Coffee,Coffee production is increasing.,0.2,up,News Website,502,6%,Agriculture
Rice,Rice prices are fluctuating.,0.9,down,Government Report,1904,-7%,Manufacturing
Tea,Tea prices are on the rise.,0.7,neutral,Market Analysis,1656,0%,Technology
Wheat,Wheat prices are dropping.,0.7,down,Government Report,621,-7%,Commodity
Electronics,Electronics sales are booming.,0.9,down,Government Report,1136,-5%,Technology
Oil,Oil prices are dropping.,0.3,neutral,Government Report,1407,0%,Technology
Rice,Rice prices are increasing.,0.6,up,Market Analysis,884,1%,Agriculture
Oil,Oil demand is increasing.,0.9,neutral,News Website,581,0%,Commodity
Rice,Rice production is steady.,0.8,up,Market Analysis,1041,3%,Technology
Oil,Oil market is recovering.,0.2,down,Government Report,1077,-8%,Technology
Electronics,Electronics market is growing.,0.6,down,Government Report,910,-9%,Agriculture
Milk,Milk market is fluctuating.,0.8,neutral,Market Analysis,921,0%,Agriculture
Tea,Tea prices are on the rise.,0.9,up,News Website,1999,2%,Commodity
Electronics,Electronics prices are declining.,0.7,neutral,Government Report,1406,0%,Manufacturing
Tea,Tea production is stable.,0.5,down,Market Analysis,1847,-2%,Commodity
Milk,Milk prices are increasing.,0.3,up,Market Analysis,1936,6%,Commodity
Oil,Oil demand is increasing.,0.3,down,Government Report,1492,-1%,Manufacturing
Wheat,Wheat prices are dropping.,0.9,down,News Website,585,-9%,Commodity
Rice,Rice production is steady.,0.3,neutral,News Website,847,0%,Manufacturing
Fruit,Fruit demand is steady.,0.2,neutral,Social Media,897,0%,Commodity
Oil,Oil prices are dropping.,0.3,neutral,News Website,1489,0%,Commodity
Tea,Tea demand is stable.,0.5,down,Government Report,1517,-1%,Manufacturing
Tea,Tea production is stable.,0.4,neutral,Market Analysis,984,0%,Technology
Tea,Tea production is stable.,0.7,up,Market Analysis,1180,7%,Agriculture
Corn,Corn prices are steady.,0.6,neutral,Social Media,1100,0%,Technology
Sugar,Sugar market is stable.,0.8,neutral,Social Media,1132,0%,Technology
Wheat,Wheat prices are expected to rise.,0.6,up,Government Report,788,2%,Manufacturing
Oil,Oil demand is increasing.,0.4,down,News Website,774,-7%,Agriculture
Rice,Rice prices are fluctuating.,0.4,up,Social Media,1513,8%,Manufacturing
Tea,Tea market is growing.,0.5,up,Government Report,996,1%,Agriculture
Fruit,Fruit market is fluctuating.,0.6,neutral,Market Analysis,1592,0%,Agriculture
Milk,Milk market is fluctuating.,0.5,down,Social Media,1868,-7%,Technology
Corn,Corn production is lower than expected.,0.5,up,Government Report,1286,4%,Commodity
Coffee,Coffee prices are decreasing.,0.7,neutral,Government Report,1878,0%,Commodity
Sugar,Sugar prices are volatile.,0.9,down,Social Media,1769,-4%,Agriculture
Oil,Oil demand is increasing.,0.3,neutral,News Website,551,0%,Commodity
Tea,Tea demand is stable.,0.5,up,News Website,1460,7%,Manufacturing
Corn,Corn market is stable.,0.7,down,Social Media,666,-2%,Technology
Tea,Tea prices are on the rise.,0.8,up,Government Report,1797,8%,Commodity
Sugar,Sugar market is stable.,0.9,neutral,Market Analysis,1308,0%,Technology
Sugar,Sugar market is stable.,0.8,neutral,Social Media,949,0%,Agriculture
Sugar,Sugar prices are increasing.,0.4,down,Market Analysis,646,-8%,Commodity
Wheat,Wheat production is high.,0.6,up,News Website,1840,5%,Manufacturing
Milk,Milk market is fluctuating.,0.4,down,News Website,839,-9%,Manufacturing
Electronics,Electronics sales are down.,0.2,neutral,Government Report,846,0%,Commodity
Fruit,Fruit market is fluctuating.,0.9,up,Government Report,1938,3%,Manufacturing
Corn,Corn prices are steady.,0.8,down,Government Report,1232,-3%,Technology
Oil,Oil demand is increasing.,0.2,down,Market Analysis,942,-5%,Manufacturing
Wheat,Wheat market is stable.,0.9,neutral,News Website,603,0%,Commodity
Sugar,Sugar prices are volatile.,0.2,down,Social Media,1314,-3%,Technology
Corn,Corn production is lower than expected.,0.8,up,Market Analysis,1001,1%,Agriculture
Wheat,Wheat prices are dropping.,0.8,neutral,Social Media,819,0%,Technology
Sugar,Sugar market is stable.,0.6,neutral,Social Media,965,0%,Manufacturing
Oil,Oil prices are fluctuating.,0.3,up,News Website,889,7%,Commodity
Oil,Oil prices are fluctuating.,0.6,neutral,News Website,954,0%,Commodity
Sugar,Sugar prices are volatile.,0.7,down,Social Media,916,-9%,Manufacturing
Oil,Oil prices are dropping.,0.6,neutral,Social Media,1495,0%,Agriculture
Wheat,Wheat prices are expected to rise.,0.5,down,Market Analysis,1838,-9%,Agriculture
Corn,Corn market is stable.,0.9,up,News Website,1016,4%,Agriculture
Oil,Oil prices are dropping.,0.3,up,Government Report,797,4%,Technology
Fruit,Fruit production is decreasing.,0.8,neutral,Government Report,691,0%,Agriculture
Corn,Corn market is stable.,0.9,up,Social Media,1659,1%,Manufacturing
Tea,Tea demand is stable.,0.8,neutral,Market Analysis,1794,0%,Manufacturing
Electronics,Electronics sales are down.,0.3,up,Market Analysis,1856,6%,Technology
Milk,Milk prices are steady.,0.9,up,Social Media,820,7%,Technology
Tea,Tea production is stable.,0.8,up,Market Analysis,1942,2%,Commodity
Rice,Rice production is steady.,0.8,down,News Website,1357,-1%,Agriculture
Tea,Tea prices are on the rise.,0.4,neutral,Market Analysis,531,0%,Manufacturing
Fruit,Fruit prices are going up.,0.2,up,Market Analysis,1736,2%,Manufacturing
Milk,Milk prices are steady.,0.6,up,Social Media,1943,6%,Manufacturing
Tea,Tea production is stable.,0.4,neutral,Market Analysis,1434,0%,Commodity
Milk,Milk prices are steady.,0.4,neutral,News Website,1945,0%,Agriculture
Milk,Milk production is high.,0.4,neutral,Government Report,1714,0%,Commodity
Corn,Corn market is stable.,0.6,up,Market Analysis,1315,8%,Manufacturing
Wheat,Wheat market is stable.,0.7,up,Social Media,886,3%,Commodity
Fruit,Fruit production is decreasing.,0.7,down,Market Analysis,1509,-4%,Commodity
Coffee,Coffee production is increasing.,0.9,neutral,News Website,1176,0%,Commodity
Rice,Rice market is unstable.,0.9,down,News Website,703,-5%,Manufacturing
Tea,Tea demand is stable.,0.3,up,Government Report,1468,7%,Technology
Tea,Tea production is stable.,0.8,up,News Website,1217,4%,Manufacturing
Oil,Oil demand is increasing.,0.6,neutral,Government Report,1568,0%,Technology
Oil,Oil demand is increasing.,0.8,down,Social Media,780,-6%,Technology
Tea,Tea prices are on the rise.,0.8,neutral,News Website,1742,0%,Manufacturing
Corn,Corn production is high.,0.9,neutral,Government Report,1560,0%,Agriculture
Coffee,Coffee production is increasing.,0.8,up,Government Report,915,2%,Commodity
Wheat,Wheat prices are dropping.,0.6,neutral,Social Media,1282,0%,Manufacturing
Oil,Oil prices are fluctuating.,0.2,neutral,Market Analysis,1343,0%,Technology
Rice,Rice production is steady.,0.9,neutral,News Website,616,0%,Commodity
Rice,Rice market is unstable.,0.4,down,News Website,1479,-5%,Agriculture
Electronics,Electronics sales are booming.,0.9,up,Social Media,1308,6%,Manufacturing
Coffee,Coffee market is steady.,0.2,neutral,Government Report,1434,0%,Agriculture
Milk,Milk prices are increasing.,0.5,down,Government Report,1795,-2%,Manufacturing
Oil,Oil prices are dropping.,0.6,down,Social Media,1805,-9%,Manufacturing
Electronics,Electronics sales are booming.,0.8,down,Social Media,888,-5%,Commodity
Sugar,Sugar demand is rising.,0.6,down,News Website,728,-4%,Commodity
Electronics,Electronics prices are declining.,0.7,up,News Website,1032,2%,Technology
Tea,Tea demand is stable.,0.8,up,News Website,599,6%,Commodity
Coffee,Coffee prices are decreasing.,0.3,up,Market Analysis,1925,6%,Commodity
Corn,Corn prices are steady.,0.6,down,Market Analysis,1938,-6%,Manufacturing
Oil,Oil prices are fluctuating.,0.3,up,Government Report,1919,7%,Agriculture
Fruit,Fruit market is fluctuating.,0.3,up,Market Analysis,1970,4%,Agriculture
Electronics,Electronics market is growing.,0.2,up,Market Analysis,1258,1%,Technology
Oil,Oil prices are fluctuating.,0.7,down,Social Media,1997,-7%,Manufacturing
Coffee,Coffee production is increasing.,0.5,neutral,Social Media,1711,0%,Agriculture
Oil,Oil prices are dropping.,0.4,neutral,News Website,1038,0%,Commodity
Rice,Rice market is unstable.,0.4,up,News Website,856,8%,Commodity
Sugar,Sugar market is stable.,0.5,up,Social Media,1228,6%,Technology
Tea,Tea market is growing.,0.2,up,News Website,1590,2%,Manufacturing
Corn,Corn production is high.,0.2,down,Social Media,1743,-7%,Manufacturing
Sugar,Sugar prices are volatile.,0.4,up,Government Report,933,8%,Manufacturing
Electronics,Electronics prices are declining.,0.9,up,Social Media,513,3%,Commodity
Milk,Milk production is high.,0.2,up,Market Analysis,787,9%,Agriculture
Electronics,Electronics sales are booming.,0.6,down,Market Analysis,1842,-5%,Technology
Milk,Milk market is fluctuating.,0.9,up,Social Media,1961,1%,Technology
Coffee,Coffee market is steady.,0.5,neutral,Social Media,1433,0%,Manufacturing
Electronics,Electronics prices are declining.,0.6,down,Social Media,1096,-3%,Technology
Rice,Rice prices are fluctuating.,0.4,neutral,Government Report,538,0%,Technology
Milk,Milk prices are steady.,0.5,down,News Website,1414,-9%,Agriculture
Electronics,Electronics sales are down.,0.9,neutral,Market Analysis,566,0%,Commodity
Oil,Oil prices are dropping.,0.8,neutral,Government Report,1541,0%,Agriculture
Milk,Milk production is high.,0.3,down,Social Media,1022,-7%,Manufacturing
Wheat,Wheat prices are dropping.,0.4,down,Market Analysis,1833,-9%,Commodity
Milk,Milk prices are steady.,0.2,up,Government Report,936,4%,Technology
Milk,Milk prices are increasing.,0.7,up,Government Report,1430,5%,Agriculture
Sugar,Sugar market is stable.,0.9,up,Government Report,1864,3%,Agriculture
Milk,Milk prices are steady.,0.2,up,Market Analysis,1034,6%,Manufacturing
Oil,Oil market is recovering.,0.5,neutral,News Website,911,0%,Commodity
Coffee,Coffee production is increasing.,0.7,neutral,Social Media,1092,0%,Technology
Corn,Corn production is high.,0.2,neutral,Government Report,1902,0%,Manufacturing
Fruit,Fruit market is fluctuating.,0.5,neutral,Government Report,1182,0%,Commodity
Coffee,Coffee prices are volatile.,0.7,neutral,Social Media,1945,0%,Agriculture
Rice,Rice prices are increasing.,0.5,up,Government Report,949,4%,Agriculture
Oil,Oil demand is increasing.,0.2,neutral,Government Report,723,0%,Technology
Tea,Tea prices are on the rise.,0.9,down,Social Media,1356,-5%,Commodity
Sugar,Sugar market is stable.,0.9,down,News Website,1864,-5%,Technology
Tea,Tea demand is stable.,0.2,down,Market Analysis,1671,-3%,Agriculture
Milk,Milk prices are steady.,0.2,up,Government Report,1661,9%,Technology
Tea,Tea demand is stable.,0.2,down,Government Report,1905,-2%,Technology
Electronics,Electronics sales are down.,0.4,down,Social Media,1885,-7%,Technology
Coffee,Coffee prices are decreasing.,0.2,neutral,News Website,1725,0%,Agriculture
Milk,Milk prices are increasing.,0.6,down,Social Media,1992,-4%,Manufacturing
Milk,Milk production is high.,0.7,neutral,Social Media,1886,0%,Manufacturing
Electronics,Electronics sales are booming.,0.4,up,Market Analysis,1679,1%,Manufacturing
Corn,Corn production is lower than expected.,0.8,neutral,Social Media,1774,0%,Technology
Tea,Tea production is stable.,0.4,up,Social Media,1562,1%,Commodity
Sugar,Sugar prices are volatile.,0.8,down,Social Media,908,-4%,Manufacturing
Wheat,Wheat prices are expected to rise.,0.2,up,Market Analysis,1451,1%,Agriculture
Wheat,Wheat production is high.,0.6,neutral,Social Media,727,0%,Commodity
Rice,Rice market is unstable.,0.9,up,Government Report,524,9%,Commodity
Corn,Corn market is stable.,0.3,down,News Website,1393,-5%,Manufacturing
Tea,Tea demand is stable.,0.5,down,Social Media,1115,-4%,Commodity
Electronics,Electronics market is growing.,0.5,down,News Website,1498,-2%,Commodity
Milk,Milk prices are increasing.,0.6,neutral,Social Media,1324,0%,Manufacturing
Electronics,Electronics prices are declining.,0.6,neutral,Social Media,1878,0%,Manufacturing
Fruit,Fruit demand is steady.,0.3,up,Social Media,773,8%,Agriculture
Corn,Corn production is lower than expected.,0.5,neutral,Government Report,751,0%,Commodity
Rice,Rice production is steady.,0.3,down,Market Analysis,1862,-8%,Manufacturing
Coffee,Coffee prices are decreasing.,0.8,neutral,Social Media,1419,0%,Manufacturing
Coffee,Coffee market is steady.,0.9,neutral,Market Analysis,521,0%,Technology
Coffee,Coffee prices are decreasing.,0.8,neutral,News Website,1277,0%,Manufacturing
Oil,Oil prices are dropping.,0.9,up,Market Analysis,907,8%,Commodity
Fruit,Fruit prices are going up.,0.2,up,Social Media,684,9%,Agriculture
Oil,Oil prices are dropping.,0.4,neutral,Government Report,1509,0%,Agriculture
Coffee,Coffee production is increasing.,0.5,neutral,Social Media,982,0%,Manufacturing
Corn,Corn production is lower than expected.,0.6,down,Social Media,1892,-2%,Manufacturing
Milk,Milk production is high.,0.9,down,Government Report,1769,-8%,Agriculture
Wheat,Wheat prices are expected to rise.,0.4,up,News Website,1644,6%,Commodity
Tea,Tea prices are on the rise.,0.2,neutral,Government Report,1076,0%,Technology
Sugar,Sugar prices are volatile.,0.7,neutral,News Website,1501,0%,Technology
Oil,Oil market is recovering.,0.3,down,Government Report,1853,-6%,Technology
Tea,Tea production is stable.,0.9,neutral,Market Analysis,1906,0%,Manufacturing
Oil,Oil prices are fluctuating.,0.8,up,Social Media,1626,7%,Manufacturing
Oil,Oil market is recovering.,0.8,up,Market Analysis,1338,6%,Agriculture
Fruit,Fruit demand is steady.,0.9,up,Social Media,1689,4%,Agriculture
Rice,Rice production is steady.,0.4,down,Government Report,1634,-3%,Technology
Milk,Milk prices are increasing.,0.2,neutral,News Website,1338,0%,Commodity
Fruit,Fruit market is fluctuating.,0.8,neutral,Government Report,626,0%,Agriculture
Corn,Corn production is high.,0.5,down,Market Analysis,1690,-8%,Agriculture
Sugar,Sugar market is stable.,0.6,neutral,News Website,1775,0%,Commodity
Corn,Corn production is high.,0.2,up,Market Analysis,592,9%,Agriculture
